,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
ArcFace,ArcFace,0.022754491017964073,0.022700119474313024,0.02272730524613855,0.1710399988553359,0.2603012627768849,0.9772727272727273,0.8559171273075938,0.18711445888608333,1.3795937213383156,0.07156323201602995,0.2617454274854122,0.49361540668768067
Facenet,Facenet,0.02874251497005988,0.02867383512544803,0.028708175047753956,0.20108886170311707,0.3560423083726652,0.9712918660287081,0.779243937329299,0.18728355977166208,1.3690669769859751,0.10730959680261491,0.19662968140347237,0.6545045456215499
VGG-Face,VGG-Face,0.0407185628742515,0.04062126642771804,0.04066991465098477,0.2824172443643179,0.23771653255293776,0.9593301435406698,0.9711215985675596,0.1712626096977358,1.3334392468992944,0.050709341482035084,1.0180615522807188,1.2753431533554735
SFace,SFace,0.1724550898203593,0.17323775388291518,0.17284642185163723,0.9425149700598803,0.22514516476380875,0.8271531100478469,1.0793776047354788,0.16849696772241898,1.3324756525587331,0.09438500999662033,0.2574360448538367,0.629032378011835
OpenFace,OpenFace,0.29101796407185626,0.2951015531660693,0.2930597586189628,0.9736526946107784,0.5955807790027923,0.7069377990430622,0.7899712124430369,0.21273517790369403,1.0185984809552635,0.19211036493838404,0.3849899276608239,1.2152004313621618
