,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
Facenet,Facenet,0.025118203309692673,0.0,0.012559101654846336,0.4772458628841607,0.3560423083726652,0.9762038073908175,0.15777147903265368,0.09392360536559691,0.9449930189143319,0.14410287158416943,0.0006765383258601768,0.0004098340648993322
ArcFace,ArcFace,0.02984633569739953,0.0,0.014923167848699764,0.567080378250591,0.2603012627768849,0.9717245240761478,0.19326763621569076,0.10480532017105945,0.9500532151131462,0.09888292754539132,0.0007747996081001034,0.0013859642847011341
VGG-Face,VGG-Face,0.10313238770685579,0.0,0.051566193853427894,1.9595153664302596,0.2377165325529377,0.9022956326987682,0.2520527435752024,0.10329795337347095,0.8574089738011916,0.06939285288897122,0.0008940491321280457,0.00041416473872689824
SFace,SFace,0.3008274231678487,0.0,0.15041371158392436,5.715721040189125,0.2251451647638087,0.7150055991041433,0.32194494017510716,0.13323844698668993,0.8401685341557964,0.1289749771186801,0.0007085484042883971,0.0008355385104793725
OpenFace,OpenFace,0.4728132387706856,0.02127659574468085,0.2470449172576832,9.004728132387706,0.5955807790027923,0.5509518477043673,0.16575693146768672,0.10086920963927225,0.4417779738993289,0.174608159781331,0.0007021783874210461,0.0009944762282327888
